filename,width,height,class,xmin,ymin,xmax,ymax
MiningSites_567_27.0553666667_-3.5778166667.jpg,886,393,mine,79,5,554,393
NonMiningSites_124_29.3903166667_-0.5457833333.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_1739_26.64625093_-1.645425.jpg,1122,393,mine,779,225,925,382
MiningSites_299_26.09305_-2.63672.jpg,1122,393,mine,173,0,1122,390
NonMiningSites_142_28.0533119267_-3.189937535.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_2262_27.860695_-3.3544483333.jpg,1122,393,mine,30,0,1122,393
MiningSites_1534_27.399248_-7.539816.jpg,1122,393,mine,670,5,1121,393
NonMiningSites_1208_28.26568048_-2.160925995.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_149_28.89105_-1.5708833333.jpg,886,393,mine,233,0,514,392
MiningSites_1392_29.421061_0.864456.jpg,1122,393,mine,407,108,797,392
MiningSites_615_28.24758_-1.13493.jpg,886,393,mine,263,180,663,327
MiningSites_800_27.49492_-2.75424.jpg,886,393,mine,0,3,437,393
MiningSites_326_26.23893_-1.10845.jpg,1122,393,mine,509,108,618,392
MiningSites_1544_27.23945_-7.763301.jpg,1122,393,mine,394,25,604,318
MiningSites_1556_27.381627_-7.315301.jpg,1122,393,mine,685,50,1121,392
NonMiningSites_1474_27.7724935_-1.315657.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_1356_26.537655_-1.537429.jpg,1122,393,mine,384,4,960,382
MiningSites_840_28.03666_0.48598.jpg,886,393,mine,431,80,525,197
NonMiningSites_1747_26.5405895_-1.5379895.jpg,1034,393,nonmine,0,0,1034,393
NonMiningSites_1674_28.311315_-0.01187583335.jpg,1034,393,nonmine,0,0,1034,393
NonMiningSites_1109_30.1072575_2.089657.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_1242_27.689347_-1.113521.jpg,1122,393,mine,540,168,563,198
NonMiningSites_121_28.942755_-1.366649.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_708_28.39849_-4.35037.jpg,886,393,mine,140,0,517,392
NonMiningSites_1242_27.535487_-4.214411.jpg,1034,393,nonmine,0,0,1034,393
NonMiningSites_17_28.087641_-1.115126.jpg,1034,393,nonmine,0,0,1034,393
NonMiningSites_1268_27.77574801_-2.193578995.jpg,1034,393,nonmine,0,0,1034,393
NonMiningSites_1192_28.614597_-2.627695.jpg,1034,393,nonmine,0,0,1034,393
MiningSites_13_28.887091_-1.56652.jpg,886,393,mine,104,1,661,385
NonMiningSites_1789_27.7650275_0.02065566665.jpg,1034,393,nonmine,0,0,1034,393
